name,latitude,longitude,free_bikes,empty_slots
Summerhill Ave / Maclennan Ave,43.685924,-79.376304,3,5
Queen St E / Joseph Duggan Rd,43.6677628,-79.30811709999999,9,7
Victoria Park Ave / Danforth Ave,43.691468,-79.288619,1,17
Navy Wharf Crt / Bremner Blvd,43.640722,-79.391051,4,2
420 Wellington St W,43.643834,-79.396649,7,4
Sentinel Rd / Finch Ave W,43.76073963892478,-79.5000273116394,13,0
Ross St / Cecil St - SMART,43.6568254,-79.3966159,2,15
York University Station (North),43.7741,-79.5005,0,13
Dundas St W / Yonge St,43.656094,-79.381484,3,26
Euclid Ave / Herrick St - SMART,43.661559,-79.413845,0,14
Wellesley St W / Queen's Park Cres,43.663376,-79.392125,2,15
Jane St / Sheppard Ave W,43.73901341370186,-79.51286317927207,16,2
144 Harrison St,43.651145,-79.423742,40,2
Wellington St W / Bay St,43.647259,-79.379878,1,53
Sunnyside Ave / The Queensway - SMART,43.6397,-79.44865,12,7
161 Bleecker St (South of Wellesley),43.666233,-79.373327,1,22
Lawrence Ave W / Renfield St,43.70402998554811,-79.4988335075738,0,11
Bay St / Scollard St,43.672152,-79.39018,4,11
Pape Ave / Gamble Ave,43.690237,-79.350119,15,4
Parkway Forest Dr / Forest Manor Rd (South),43.769529687223894,-79.34338171403495,3,13
Queen St E / Hammersmith Ave,43.671349,-79.29451,9,2
Walnut Ave / Queen St W,43.645469,-79.411084,1,11
Queen St E / Pape Ave - SMART,43.661673,-79.337789,12,4
Tecumseth St / Tecumseth Pl,43.642697996199985,-79.4049993694586,11,0
Davenport Rd / Lansdowne Ave,43.671526,-79.44874,2,16
Eastwood Rd / Coxwell Ave,43.673118,-79.318651,18,0
Fenwood Ht / Kingston Rd,43.72690169821676,-79.22920396582664,9,4
Rouge Hill GO Station,43.7805505,-79.1301203,0,18
Lundy Ave / Étienne Brûlé Park,43.6625395,-79.5030161,3,10
Bremner Blvd / Rees St,43.641529,-79.386741,3,43
Willowdale Ave / Bishop Ave ,43.78387252467251,-79.40786809814757,0,19
Plaxton Dr / St. Clair Ave E,43.70751755961952,-79.30252066313936,9,5
Front St W / University Ave (2),43.6452972,-79.3827914,4,13
Jarvis St / Richmond St E,43.652777,-79.372637,13,5
Mortimer Ave / Coxwell Ave,43.690564,-79.326319,16,7
Dundas St E / River St,43.661152,-79.358505,18,0
St. Clair Ave W / Symes Rd,43.670042134416704,-79.4789424818056,1,14
Yarmouth Rd / Christie St,43.67,-79.42083333333333,2,9
Dufferin Gate - SMART,43.633473,-79.425679,9,6
Symington Ave / Davenport Rd,43.6704403,-79.45328549999999,1,13
Niagara St / King St W - SMART,43.64281323408372,-79.40751415588915,6,18
Madison Ave / Bloor St W,43.66701830465472,-79.4027958687172,1,13
Kingston Rd / Scarborough Golf Club Rd,43.74531103700256,-79.20970650787817,0,14
Harbord St / Grace St (Bickford Park),43.65995363518053,-79.41787388888551,7,15
Alvin Ave / St. Clair Ave E,43.68871,-79.39264,1,18
385 Pacific Ave,43.6651094724602,-79.46833581423087,18,3
Chorley Park - SMART,43.6856,-79.3718,3,16
Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,1,28
Yonge St / Davisville Ave,43.6975969,-79.39654,2,12
Berry Rd / Bell Manor Dr,43.63732,-79.489083,15,2
Adelaide St W / York St ,43.6491919790139,-79.38363237427446,0,19
Lake Shore Blvd W / Ontario Dr,43.630254,-79.420317,0,29
St Clarens Ave / Shirley St,43.6486599,-79.4376413,3,11
Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,21,7
Cumberland St / Bay St -  SMART,43.6704537,-79.39014,0,8
Overlea Blvd / Thorncliffe Park Dr,43.707555968595464,-79.34272024477463,0,18
Kempford Blvd / Yonge St,43.776857235099826,-79.4151161430729,3,16
Bay St / Albert St,43.653264,-79.382458,8,49
Jack Layton Ferry Terminal,43.64103161936887,-79.37670442726134,1,18
High Park Outdoor Pool,43.650154,-79.464934,3,21
800 Fleet St (South),43.63670985212708,-79.40880517790985,15,22
McCowan Rd / Trudelle St,43.74033901575211,-79.23935319629516,5,13
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,10,0
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,3,15
Niagara St / Tecumseth St,43.641389,-79.404444,13,0
Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,12,2
Oakdale Community Centre,43.74751496038769,-79.5132569853195,10,4
Trinity St /Front St E,43.651318,-79.36023,16,0
Finch Ave E / Upper Don Recreational Trail ,43.78893788312306,-79.37488868750592,11,0
Sheppard Ave E / Brian Dr,43.7751833232896,-79.33044338101735,4,13
Sheppard Ave W / Chesswood Dr,43.755583971122874,-79.47446032684479,9,10
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,4,16
Swansea Community Centre,43.6438036,-79.4770327,3,11
The Queensway / High St,43.630874,-79.482407,16,5
Esther Shiner Stadium,43.7774374,-79.4447096,7,15
Rogers Rd / Watt Ave,43.68233679999999,-79.4680594,0,15
College Park - Gerrard Entrance,43.658938,-79.383518,13,9
Carlton St / Parliament St,43.664524,-79.36793,15,9
Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,0,15
Hanna Ave / Snooker St,43.639547,-79.420022,2,12
Queen St W / John St,43.650077,-79.391291,11,12
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,3,10
Eglinton Ave W / Gilbert Ave,43.69254716689966,-79.46332759272917,0,19
St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,4,16
Jarvis St / Isabella St,43.668991,-79.379385,6,14
Jane St / Yorkwoods Gt,43.7503016975738,-79.51577557434386,11,4
Bay St / College St (East Side),43.660439,-79.385525,5,23
Richmond St W / York St,43.650745,-79.383633,5,6
Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,0,18
Bay St / Bloor St W (West Side),43.669244,-79.3894,0,19
Queen St W / Spadina Ave,43.649147,-79.395504,8,2
Davenport Rd / Avenue Rd,43.674991,-79.396273,1,9
King St W / Jameson Ave - SMART,43.63735795888104,-79.43617975886079,11,0
Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,1,19
Edward St / Yonge St,43.656729,-79.382736,4,13
16 Riverview Gardens ,43.64883712159794,-79.48675294250663,17,12
Queen's Park / Bloor St W,43.668456,-79.393899,1,18
Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,2,9
Shaw St / King St W,43.6412561641921,-79.41502994047545,12,3
Kilgour Rd / Rumsey Rd,43.718039,-79.371914,4,12
Castle Frank Subway Station,43.67418030086386,-79.36795839711793,1,15
Spadina Ave / Blue Jays Way,43.641705,-79.393295,13,11
Glendonwynne Rd / Bloor St W,43.65182,-79.47421,5,14
Superior Ave / Lake Shore Blvd W,43.6146692,-79.4873148,15,0
2700 Eglinton Ave W,43.69074600637147,-79.47820143344333,26,13
Wendover Rd / Bloor St W (Green P),43.6492,-79.50601999999999,1,14
75 Holly St,43.7063279,-79.3962499,5,16
Starspray Blvd / Lawrence Ave E,43.788525214554085,-79.1231844760227,9,1
The Pond Rd / Shoreham Dr,43.772445,-79.511912,0,13
Adelaide St W / Yonge St,43.65038002325664,-79.3787277120385,4,14
Lynn Williams St / East Liberty St,43.638925,-79.4168659,14,0
Roding St / Nash Dr,43.72885964584396,-79.49202997658232,7,7
King St E / Berkeley St,43.651885,-79.3649,22,7
Royal York Rd / Mimico Ave,43.612063,-79.496573,17,3
King St W / Charlotte St,43.645572,-79.39399,19,2
Russell Hill Rd / St. Clair Ave W,43.685569,-79.408019,1,16
Harbord St / Clinton St,43.660414,-79.415646,6,9
Jameson Ave / Queen St W,43.63985,-79.43703,16,11
High Park - Grenadier Cafe,43.645599,-79.4657123,0,8
High Park Amphitheatre,43.646251,-79.46472,3,12
Gothic Ave / Quebec Ave,43.65389,-79.4675,4,14
111 Bond St (North of Dundas St E)  - SMART,43.656927,-79.378497,6,8
Grantbrook St / Finch Hydro Corridor Trail,43.780468305361154,-79.43280415488479,4,10
Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,5,10
College St / Borden St,43.6571,-79.4056,4,3
Coxwell Ave / Plains Rd,43.69595,-79.328535,16,3
Lower Simcoe St / Bremner Blvd,43.64283,-79.38409,2,12
Glen Long Community Centre,43.70820992643782,-79.45627808717194,0,15
Taddle Creek Park,43.66986,-79.398443,3,10
Bloor St E / Huntley St - SMART,43.671535,-79.379173,6,14
Bay Mills Blvd / Birchmount Ave,43.78342986112393,-79.29955890113074,6,8
Gerrard St E / Leslie St,43.669813,-79.3335,20,2
Eglinton Ave W / Prospect Cemetery,43.69415,-79.45782580000001,0,19
Maud St / Adelaide St W - SMART,43.6460145694434,-79.39960497726345,11,4
Simcoe St / Michael Sweet Ave,43.652327224103,-79.3882538196087,5,13
High Park - West Rd,43.651922,-79.465693,2,17
Morningside Park (Highland Creek Trail),43.779353,-79.193023,5,13
Ellesmere Rd / Markham Rd,43.77682938751077,-79.2305003612381,2,10
King St W / Cowan Ave - SMART,43.637922,-79.431734,11,3
Trethewey Dr / Black Creek Dr,43.695498400279796,-79.48809394482672,3,12
Adelaide St W / Bay St,43.650152,-79.379856,0,21
Pharmacy Ave / Eglinton Ave E ,43.72534466992445,-79.2976874085289,4,11
Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,24,11
Brahms Ave / Finch Ave E,43.79236326442992,-79.35836318028717,5,11
King St W / Crawford St,43.6417852,-79.4131148,12,8
Isabella St / Church St,43.66834,-79.38235,4,22
Durie St / Dundas St W,43.665523,-79.484892,2,21
Trent Ave / Danforth Ave,43.689293,-79.295895,0,23
Marilyn Bell Park Tennis Court,43.633537,-79.437461,4,21
Cosburn Ave / Cedarvale Ave,43.697139,-79.31469,3,12
Joe Shuster Way / King St W ,43.64039672322004,-79.4237424131447,14,4
Sherbourne St / Wellesley St E,43.6673,-79.374,12,16
Lower Jarvis St / The Esplanade,43.6478206,-79.3704721,14,0
Sheppard Ave E / Willowdale Ave ,43.76411174298419,-79.39833699652739,8,3
Mallon Ave / Jones Ave -SMART,43.66587,-79.33443,10,5
Front St W / Simcoe St,43.644480035433915,-79.38698781349183,0,27
Centre Island,43.61851569484422,-79.3730330079146,19,12
135 Queens Wharf Rd - SMART,43.6399714,-79.39940399999999,14,1
15 Price St ,43.6799477790745,-79.38994813684005,3,11
Kennedy Rd / Bertrand Ave,43.73746176713744,-79.26995937672586,0,10
Jarvis St / Dundas St E,43.657266,-79.374756,26,0
Orde St / McCaul St,43.6580442,-79.3927404,0,14
University Ave / King St W - SMART,43.6477785,-79.3847928,0,23
Islington Ave / Finch Ave W,43.74445257991756,-79.56824985721664,3,11
The Queensway at South Kingsway,43.63632,-79.47307,20,0
Roehampton Ave / Bayview Ave,43.711751,-79.378615,13,12
Phoebe St / Spadina Ave,43.650033,-79.396555,15,16
Yonge St / Lawrence Ave E,43.7254665,-79.40115449999999,3,18
Bay St / Bloor St W (East Side),43.66943,-79.38915,0,15
Symington Ave / Dupont St,43.665538,-79.451263,5,9
Silver Springs Blvd / Birchmount Rd,43.800737007917,-79.30671242148874,2,2
St. Clair Ave W / Osler St,43.6739269797493,-79.46068479021301,4,5
Bridgman Ave / Bathurst St,43.674444,-79.414722,3,10
Davenport Rd / Bedford Rd,43.674446,-79.398331,2,11
University Ave / College St (East),43.65995,-79.38964,3,12
York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,13,2
Simcoe St / Elm St,43.656038841714505,-79.38970387738495,4,7
24 Mountjoy Ave,43.68049350289877,-79.33044552721375,15,3
Marine Parade Dr / Humber Bay Shores Park Trl,43.626461825093834,-79.47675102302073,10,8
King St W / Spadina Ave,43.64514249449372,-79.39510358283808,9,9
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,16,19
Bayview Ave / Finch Recreational Trail,43.789068698639504,-79.39315096004944,8,8
Keele St / Lloyd Ave,43.67115532642577,-79.46701597756929,1,12
Viewmount Park,43.70735572654095,-79.43723072209013,3,11
Housey St / Dan Leckie Way,43.63811,-79.397877,20,2
Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,19,0
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,2,17
Slan Ave / Scarborough Golf Club Rd,43.77327261711258,-79.21971485277862,6,7
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,1,11
85 Lee Ave,43.6700692,-79.2971326,0,17
King St W / Portland St - SMART,43.644395,-79.40065430000001,18,14
Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,0,18
Sussex Ave / St George St,43.665304278965365,-79.39938263802871,1,14
Baldwin St / Henry St,43.6560758,-79.393259,1,11
Donlands Subway Station,43.681114,-79.3373885,9,6
York St / Lake Shore Blvd W,43.641952,-79.380723,15,1
Weston Rd / Sheppard Ave W,43.73262849415089,-79.5381993243286,1,13
Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,4,8
Leslie Subway Station,43.77037892370793,-79.36702734195678,4,11
Baycrest Ave / Bathurst St,43.72966526118746,-79.4324727837474,1,17
Pharmacy Ave / Teesdale Pl,43.697356080874876,-79.28528711019696,17,2
Lindylou Rd / Lanyard Rd,43.74845421407306,-79.5504039969242,5,8
Blake St / Boultbee Ave,43.672453,-79.338259,14,1
Granby St / Church St - SMART,43.6614605,-79.37894570000002,13,9
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,2,16
Spadina Ave / Sullivan St,43.65082785552666,-79.39698099821702,9,13
Jarvis St / Carlton St,43.66207,-79.37617,10,4
Mallaby Park ,43.706191092397106,-79.53262795581969,0,14
Bathurst St / Lennox St,43.663808,-79.410491,2,14
1303 Yonge St - SMART,43.6846177,-79.39245919999999,2,12
Palmerston Ave / Vermont Ave,43.671389,-79.416389,9,4
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,3,15
York St / Queens Quay W,43.640132,-79.380464,15,42
Gamble Ave / Broadview Ave,43.689211,-79.35438,19,3
