cluster,name,category,lat,lon
0.0,St. Michael's Cathedral,Church,43.65500673830438,-79.37706093077023
0.0,Hokkaido Ramen Santouka らーめん山頭火,Ramen Restaurant,43.65643520293576,-79.37758637997793
0.0,Kyoto Katsugyu,Japanese Restaurant,43.65689012371561,-79.37624529337924
0.0,Mackenzie House,Monument,43.655678290764754,-79.37824998456732
0.0,Page One Cafe,Café,43.657243190864875,-79.37602091217728
0.0,Burrito Boyz,Burrito Restaurant,43.65633082419097,-79.37854079931947
0.0,SukoThai,Asian Restaurant,43.655527632497794,-79.37490655370989
0.0,Ali Basha Cafe,Hookah Bar,43.65672842643559,-79.37537800289302
0.0,Jazz Bistro,Music Venue,43.65567828473835,-79.37927565514764
0.0,The Senator Restaurant,Diner,43.65564091455335,-79.37919882575557
0.0,Massey Hall,Concert Hall,43.654194704753934,-79.37889126670004
0.0,Citrus Restaurant & Lounge @ The Grand Hotel,Lounge,43.65632607995935,-79.3739581676407
0.0,Ed Mirvish Theatre,Theater,43.655101567321054,-79.37976762131545
0.0,Blaze Pizza,Pizzeria,43.656518,-79.380015
0.0,Elgin and Winter Garden Theatres,Theater,43.653393796019586,-79.3785073962175
0.0,Oakham Café,Café,43.65799043541063,-79.37810347728961
0.0,GEORGE Restaurant,Restaurant,43.65334645635036,-79.3744449051126
0.0,The Carbon Bar,Restaurant,43.65323304874945,-79.37480449676514
0.0,Yonge-Dundas Square,Plaza,43.65605389742188,-79.38049504264389
0.0,Cineplex Cinemas,Movie Theater,43.65612555948613,-79.38039005666784
0.0,Metropolitan United Church,Church,43.653183,-79.3757753
0.0,The 3 Brewers,Beer Bar,43.655474284721,-79.38041324445061
0.0,Jack Astor's Bar & Grill,Restaurant,43.656157796103294,-79.38032984733582
0.0,Balzac's Coffee,Coffee Shop,43.65785440672277,-79.37919981155157
0.0,Downtown Camera Ltd,Camera Store,43.653107,-79.37512
0.0,Urban Outfitters,Clothing Store,43.65441107845698,-79.38005491917738
0.0,Magic Tailor,Clothing Store,43.65372974146551,-79.3795763359017
0.0,HomeSense,Furniture and Home Store,43.6531486,-79.3794184
0.0,CF Toronto Eaton Centre,Shopping Mall,43.65388724267746,-79.38058390902839
0.0,Little Canada,Exhibit,43.656967,-79.38048
0.0,Booster Juice,Smoothie Shop,43.65265752,-79.37845927
0.0,Five Guys,Burger Joint,43.657116518476315,-79.38085267976494
0.0,Danish Pastry House,Bakery,43.654574,-79.38074
0.0,Tim Hortons,Coffee Shop,43.656807,-79.380604
0.0,Chipotle Mexican Grill,Mexican Restaurant,43.65686,-79.38091
0.0,LUSH,Cosmetics Store,43.653557,-79.3804
0.0,Trattoria Mercatto,Italian Restaurant,43.65445314470199,-79.3809741075674
0.0,SEPHORA,Cosmetics Store,43.6535272,-79.3801543
0.0,DAVIDsTEA,Tea Room,43.65521877547618,-79.38094518163427
0.0,Roots,Clothing Store,43.65361341708363,-79.38024401664734
0.0,Indigo,Bookstore,43.65351471121164,-79.38069591056922
0.0,Starbucks,Coffee Shop,43.654438,-79.380699
0.0,The Black Canary Espresso Bar,Café,43.65711005304276,-79.38095574325118
0.0,Eaton Centre Fountain,Fountain,43.65366112275937,-79.37978736281504
0.0,Crêpe Delicious,Creperie,43.654536488277245,-79.38088885547485
0.0,Silver Snail Comics,Comic Book Store,43.65703137958407,-79.38140310220501
0.0,Eaton Centre James St. Courtyard,Garden,43.65601054123176,-79.380507881576
0.0,Spring Sushi,Sushi Restaurant,43.656252529816086,-79.38065954471074
0.0,Big Smoke Burger,Burger Joint,43.65492030150413,-79.38080432697494
0.0,Bourbon St. Grill,Fast Food Restaurant,43.6551351410162,-79.3808225262395
1.0,"The Den Toronto : Workshops, Bench Rentals and Designer Jewellers",Jewelry Store,43.670425473150445,-79.45636392984675
1.0,Davenport Police Station,Police Station,43.67075040187284,-79.4595966869887
1.0,joes garden centre & grapes,Garden Center,43.66965648799685,-79.45305984615526
1.0,Tavora Foods,Imported Food Store,43.67460465601989,-79.45680220459626
1.0,Ecole Elementaire  Charles Sauriol,Elementary School,43.66768454177407,-79.45545545780385
1.0,Toronto Police Service - 11 Division,Police Station,43.67106781523772,-79.46062997965736
1.0,Katzman Contemporary,Art Gallery,43.6698333816049,-79.46061842584481
1.0,Pope Paul Catholic School,Education,43.673909612110315,-79.45785979716668
1.0,#thepussypad,Lounge,43.67397324519038,-79.45852488882116
1.0,D. Kinnas Lanchonete,Snack Place,43.674955934884274,-79.45737324457924
1.0,Macellaria del Baby Beef,Butcher,43.674935638160136,-79.45765063789628
2.0,Twice As Nice,Vintage and Thrift Store,43.75941208470209,-79.1978416949969
2.0,Sunny's Sport Bar and Grill,Sports Bar,43.75941208470209,-79.1978416949969
2.0,Idlewood Inn,Structure,43.76020999133995,-79.19688796263314
2.0,P's Good Luck Convenience,Convenience Store,43.75893469886524,-79.19823609200738
2.0,Kingston-Galloway,Neighborhood,43.76294985845731,-79.19548595773577
2.0,Native Child and Family Services of Toronto,Government Building,43.7623615264705,-79.19506665013616
2.0,Maplewood High School,High School,43.759301799112635,-79.19463862389193
2.0,P J's Fashions,Clothing Store,43.76292402024543,-79.19426369522978
3.0,Rona Tuck Shop,Convenience Store,43.74269167204361,-79.50191746148427
3.0,Squared Circle Training Wrestling School,,43.743841251833764,-79.49545110319373
3.0,De Sario Festival of Lights,Attraction,43.74578158680309,-79.49581195547617
3.0,Brookwell Dr,,43.74373246726875,-79.49463707156923
3.0,Sentinel park,Park,43.74797789483021,-79.50033734255574
3.0,Northwood Park,Park,43.748075354158836,-79.50054053862387
4.0,Earl Haig Primary School/Daycare,Education,43.680641183744065,-79.32099034253207
4.0,Montessori Day Care Connection,Preschool,43.67951094167956,-79.32109259088504
4.0,Danforth Bowl,Bowling Alley,43.683393717844595,-79.32409127255353
4.0,Yanagi Sushi,Sushi Restaurant,43.68322275332653,-79.32490630107672
4.0,Local 1794,Gastropub,43.68449820028577,-79.31888594100676
4.0,Monarch Park Stadium,Soccer Field,43.6781436961028,-79.3240380491706
4.0,Pomarosa Coffee & Kitchen,Café,43.68323497906913,-79.32551636355576
4.0,Retro Burger,Burger Joint,43.68404423853889,-79.32129364044222
4.0,Sunset Grill,Breakfast Spot,43.68363017995843,-79.32314624180843
4.0,CML HealthCare,Medical Center,43.68269532689394,-79.32365353132239
4.0,Toronto Public Library - Danforth/Coxwell Branch,Library,43.6836456424621,-79.32137105673986
4.0,Mr Sub Danforth and Coxwell,Sandwich Spot,43.6836456424621,-79.32137105673986
4.0,Gerrard Spaghetti & Pizza House,Pizzeria,43.68323607249655,-79.32472128736737
4.0,Coffee Time,Coffee Shop,43.68331040353171,-79.32290863151975
4.0,Monarch Park CI,Education,43.67929898645575,-79.32325756748246
4.0,TKO's Sports Pub,Sports Bar,43.6835779935555,-79.32309122188292
4.0,Shoppers Drug Mart,Pharmacy,43.683956,-79.322268
4.0,Queenie's Cards,Gift Store,43.68382110544251,-79.3220536731151
4.0,Monarch Park Collegiate,High School,43.678783803656465,-79.32261492659124
4.0,Subway,Sandwich Spot,43.68345922164448,-79.32396127847045
4.0,LifeLabs,Medical Lab,43.683051,-79.323979
4.0,The Bus Terminal Diner,Breakfast Spot,43.68369568287251,-79.32301624563493
4.0,A&W Canada,Breakfast Spot,43.68368902465429,-79.32310875376223
4.0,Monarch Park Collegiate - Track & Field,Track,43.67875051570748,-79.32307741748507
4.0,Mimi's Convenience,Convenience Store,43.68413636600381,-79.32079360272098
4.0,Lucy Ethiopian Restaurant,African Restaurant,43.68413636600381,-79.32079360272098
4.0,Plank Road Market,Grocery Store,43.684287335579896,-79.32025607058927
4.0,Secret Planet Printshop,Print Store,43.68356359346753,-79.32407132010455
4.0,Our Spot,Greek Restaurant,43.684099603692644,-79.31896337920821
4.0,Thai One On,Thai Restaurant,43.68415844737522,-79.3189258853037
4.0,Cyclepath,Bicycle Store,43.68320277401774,-79.32518382140728
4.0,Pizzaiolo,Pizzeria,43.68328159831688,-79.32486881566815
4.0,Gelato On The Danny & Espresso Bar,Gelato Shop,43.68447823516037,-79.3191634725378
4.0,Kops Records,Record Store,43.684302753754714,-79.31848085650071
4.0,Coxwell Avenue Playground,Playground,43.677630162433864,-79.32070217470816
4.0,Trecce,Italian Restaurant,43.68455704419436,-79.31884844667321
4.0,El Sol Mexican Gallery Restaurant,Mexican Restaurant,43.68288746894391,-79.3264438329973
4.0,Cumin Kitchen Fine Indian Cuisine,Indian Restaurant,43.68465581608809,-79.31825588682237
4.0,Fresh Paint,Arts and Entertainment,43.68442813934399,-79.31751825660186
4.0,East York General Family Medicine Clinic,Doctor's Office,43.684500290231206,-79.31729573887125
4.0,Monarch Park Dog Park,Dog Park,43.67790523178689,-79.32466928285761
4.0,Coal Mine Theatre,Indie Theater,43.683064004801025,-79.32633138334096
4.0,Walima Cafe,Café,43.68288080804165,-79.32653633883224
4.0,Casa Di Giorgios,Italian Restaurant,43.682462230602404,-79.32689122198731
