cluster,name,category,rating,review_count,latitude,longitude,address
0.0,Haidilao Hot Pot,Chinese,4.7,89,43.65463277110709,-79.37983890331797,"['237 Yonge Street', 'Toronto, ON M5B 1N8', 'Canada']"
0.0,The Rabbit Hole,Gastropubs,4.2,57,43.64995,-79.37976,"['21 Adelaide Street W', 'Toronto, ON M5H 1L6', 'Canada']"
0.0,Gyukatsu Kyoto Katsugyu,Japanese,4.0,186,43.65687,-79.37616,"['134 Dundas Street E', 'Toronto, ON M5B 1E2', 'Canada']"
0.0,The Senator,Breakfast & Brunch,3.9,524,43.65574,-79.37896,"['249 Victoria Street', 'Toronto, ON M5B 1T8', 'Canada']"
0.0,Adobar,Filipino,5.0,5,43.6573225,-79.3738846,"['200 Dundas Street E', 'Toronto, ON M5A 1Z4', 'Canada']"
0.0,The Carbon Bar,Barbeque,3.9,438,43.653088,-79.374829,"['99 Queen Street East', 'Toronto, ON M5C 1S2', 'Canada']"
0.0,Katsuya,Japanese,4.4,554,43.65995,-79.37882,"['66 Gerrard Street E', 'Unit 100', 'Toronto, ON M5B 2M2', 'Canada']"
0.0,Richmond Station,Canadian (New),4.4,964,43.6513729,-79.379285,"['1 Richmond Street W', 'Toronto, ON M5H 3W4', 'Canada']"
0.0,Egg Club,Coffee & Tea,4.4,171,43.65655,-79.37793,"['88 Dundas Street E', 'Toronto, ON M5B 1C9', 'Canada']"
0.0,Pearl Diver,Seafood,4.2,668,43.65163,-79.37375,"['100 Adelaide Street E', 'Toronto, ON M5C 1K9', 'Canada']"
0.0,Daldongnae Korean BBQ - Dundas Square,Korean,4.3,60,43.658244,-79.381345,"['361 Yonge Street', 'Toronto, ON M5B 1S1', 'Canada']"
0.0,George Restaurant,Canadian (New),4.3,310,43.65337263523713,-79.37432933100068,"['111 Queen Street E', 'Toronto, ON M5C 1S2', 'Canada']"
0.0,Hokkaido Ramen Santouka,Ramen,3.9,923,43.656321731393,-79.377499580039,"['91 Dundas Street E', 'Toronto, ON M5B 2C8', 'Canada']"
0.0,Twilight Cafe,Cafes,3.7,25,43.65564925210894,-79.37948939636114,"['252 Victoria Street', 'Toronto, ON M5B 1V8', 'Canada']"
0.0,KINKA IZAKAYA ORIGINAL,Japanese,4.1,1905,43.660493944823784,-79.37892191838307,"['398 Church Street', 'Toronto, ON M5B 2A2', 'Canada']"
0.0,Cafe Oro Di Napoli,Pizza,4.5,150,43.6514257145518,-79.3721591972351,"['75 Jarvis Street', 'Toronto, ON M5C 2H2', 'Canada']"
0.0,Moon Palace,Seafood,3.9,102,43.6561951,-79.38240341165705,"['40 Dundas Street W', 'Toronto, ON M5G 2C2', 'Canada']"
0.0,Mogouyan Hand-Pulled Noodles,Noodles,4.5,140,43.65573,-79.38449,"['124 Dundas St W', 'Toronto, ON M5G 1C3', 'Canada']"
0.0,Som Tum Jinda,Thai,4.3,66,43.6600655911432,-79.37816238163049,"['76 Gerrard Street E', 'Toronto, ON M5B 1G6', 'Canada']"
0.0,OEB Breakfast - Toronto Street,Breakfast & Brunch,4.4,86,43.65026,-79.37646,"['20 Toronto Street', 'Toronto, ON M5C 2B8', 'Canada']"
0.0,Chachu's,Pakistani,5.0,2,43.6571988,-79.3783432,"['113 Bond Street', 'Toronto Metropolitan University', 'Toronto, ON M5B 1Y2', 'Canada']"
0.0,Teller's Bar and Lounge,International,4.7,15,43.64882,-79.37805,"['One King West Hotel & Residence', '1 King Street W', 'Toronto, ON M5H 1A1', 'Canada']"
0.0,Edna + Vita,Wine Bars,4.1,31,43.649394908709056,-79.3825105072502,"['77 Adelaide Street W', 'Toronto, ON M5H 1P9', 'Canada']"
0.0,Flipper's,Pancakes,4.5,48,43.65745820407874,-79.38315220177174,"['31 Elm Street', 'Toronto, ON M5G 1H1', 'Canada']"
0.0,Bites,Indian,5.0,1,43.65730580083745,-79.38080575593021,"['335 Yonge Street', 'Unit 2', 'Toronto, ON M5B 2L3', 'Canada']"
0.0,Fran's Restaurant,American,2.9,250,43.6543965446037,-79.3790650246736,"['200 Victoria Street', 'Toronto, ON M5B 2R3', 'Canada']"
0.0,Bob's Bulgogi,Korean,3.9,94,43.652139,-79.377507,"['105 Victoria Street', 'Toronto, ON M5C 3B4', 'Canada']"
0.0,Tagpuan,Filipino,5.0,2,43.6573815,-79.3807846,"['335 Yonge Street', 'World Food Market', 'Toronto, ON M5B 2L3', 'Canada']"
0.0,Charcoal Kebab House,Noodles,4.5,6,43.657696200000025,-79.37617037055227,"['108 Mutual Street', 'Toronto, ON M5B 2R7', 'Canada']"
0.0,Makilala,Filipino,5.0,1,43.65240001427541,-79.37519811093807,"['105 Church Street', 'Toronto, ON M5C 2G3', 'Canada']"
0.0,J San Sushi Bar,Sushi Bars,4.4,101,43.656165217341915,-79.37458999718368,"['186 Jarvis Street', 'Toronto, ON M5B 2B7', 'Canada']"
0.0,Box And Brew Cafe,Cafes,5.0,1,43.65781688648715,-79.38128669148288,"['351 Yonge Street', 'Toronto, ON M5B 1S1', 'Canada']"
0.0,Kabul Express,Halal,3.7,96,43.65682,-79.3764,"['126 Dundas Street E', 'Toronto, ON M5B 1E2', 'Canada']"
0.0,Ikkousha,Ramen,5.0,10,43.65882611099415,-79.3822273,"['374A Yonge Street', 'Toronto, ON M5B 1S6', 'Canada']"
0.0,Yeti Kitchen,Himalayan/Nepalese,4.5,11,43.65378,-79.37372,"['106 Queen Street E', 'Toronto, ON M5C 1S6', 'Canada']"
0.0,Convivium Dining Community,Mediterranean,4.5,4,43.649522,-79.377791,"['83 Yonge Street', 'Toronto, ON M5C 1S8', 'Canada']"
0.0,Rahmi Shawarma N'Kebab,Mediterranean,4.3,4,43.65681079314521,-79.37623511999846,"['132 Dundas Street E', 'Toronto, ON M5B 1E2', 'Canada']"
0.0,Vietlicious Toronto,Vietnamese,4.4,5,43.6573398319754,-79.3810402974486,"['335 Yonge Street', 'Toronto, ON M5B 2L3', 'Canada']"
0.0,Page One,Cafes,4.1,100,43.657853,-79.376254,"['106 Mutual Street', 'Unit 8', 'Toronto, ON M5B 2R7', 'Canada']"
0.0,Trattoria Mercatto,Italian,3.3,263,43.654217,-79.380789,"['220 Yonge Street', 'Eaton Center', 'Toronto, ON M5B 2H1', 'Canada']"
0.0,Eggspectation - Bay Street,Breakfast & Brunch,4.1,837,43.653717,-79.382287,"['483 Bay Street', 'South Tower', 'Toronto, ON M5G 2C9', 'Canada']"
0.0,JOEY Eaton Centre,Canadian (New),3.7,586,43.6558708964233,-79.382009190213,"['1 Dundas St W,', 'Toronto', 'Toronto, ON M5G 1Z3', 'Canada']"
0.0,A&W,Burgers,4.7,6,43.65467196,-79.37620314,"['167 Church Street', 'Unit 3', 'Toronto, ON M5B 1Y6', 'Canada']"
0.0,Beerbistro,Bistros,3.9,703,43.649628,-79.377165,"['18 King Street E', 'Toronto, ON M5C 1C4', 'Canada']"
0.0,Lucie,French,4.4,21,43.64977,-79.37847,"['100 Yonge Street', 'Toronto, ON M5C 2W1', 'Canada']"
0.0,The Queen And Beaver Public House,Pubs,3.8,443,43.65734,-79.38334,"['35 Elm Street', 'Toronto, ON M5G 1H1', 'Canada']"
0.0,Florin Trattoria,Italian,5.0,1,43.65123,-79.38212,"['80 Richmond Street W', 'Toronto, ON M5H 2A3', 'Canada']"
0.0,The Carlton Restaurant,Canadian (New),4.4,7,43.6617125,-79.3811043,"['Holiday Inn', '30 Carlton Street', 'Toronto, ON M5B 2E9', 'Canada']"
0.0,GB Hand-pulled Noodles,Chinese,4.1,602,43.65669,-79.38385,"['66 Edward Street', 'Toronto, ON M5G 1C9', 'Canada']"
0.0,Gurume Sushi,Sushi Bars,4.8,88,43.6613914599157,-79.38099526635763,"['45 Carlton Street', 'unit 5', 'Toronto, ON M5B 2H9', 'Canada']"
1.0,The Hole In the Wall,Pubs,4.3,190,43.66518,-79.46515,"['2867 Dundas Street W', 'Toronto, ON M6P 1Y9', 'Canada']"
1.0,Dao’s Cafe,Laotian,5.0,1,43.67015990458179,-79.45608546441828,"['1927 Davenport Road', 'Toronto, ON M6N 1C3', 'Canada']"
1.0,Luna Junction,Portuguese,4.7,54,43.6656,-79.46276,"['2800 Dundas St W', 'Toronto, ON M6P 1Y5', 'Canada']"
1.0,Honest Weight,Seafood,4.4,142,43.6653335939817,-79.4614855543404,"['2766 Dundas Street W', 'Toronto, ON M6P 1Y3', 'Canada']"
1.0,Churrasqueira Vira's BBQ,Portuguese,3.7,7,43.6702099759196,-79.456898868084,"['1969 Davenport Road', 'Toronto, ON M6N 1C3', 'Canada']"
1.0,Nodo - Junction,Italian,4.1,219,43.665251,-79.465596,"['2885 Dundas Street West', 'Toronto, ON M6P 1Y9', 'Canada']"
